Combien de fois avez-vous contracté le Covid-19 ?,Combien de doses de vaccin au Covid-19 avez vous reçues ? ,Vous connaissez ou avez connu :,Pour ma part :,Quel est votre positionnement par rapport au port obligatoire du masque dans les lieux publics ?,Quels sont les arguments qui vous font pencher plutôt pour le port du masque ?,Quels sont les arguments qui vous font pencher plutôt contre le port du masque ?,Votre entourage est majoritairement : (m),Quel est votre positionnement par rapport à l'usage actuel des vaccins contre le Covid ?,Quels sont les arguments qui vous font pencher plutôt pour la vaccination au Covid-19 ?,Quels sont les arguments qui vous font pencher plutôt contre la vaccination au Covid-19 ?,Votre entourage est majoritairement : (v),Quel est votre positionnement par rapport aux décisions gouvernementales prises depuis le début de la pandémie concernant le pass vaccinal ?,Quels sont les arguments qui vous font pencher plutôt pour le pass vaccinal ?,Quels sont les arguments qui vous font pencher plutôt contre le pass vaccinal ?,Votre entourage est majoritairement : (ps),Quel est votre genre ?,Quelle est votre tranche d'âge ?,Quelle est votre catégorie socio-professionnelle ?,Quelle est la population de votre ville de résidence ?,Quel est votre positionnement politique ? (Optionnel),Vous vous considérez comme :,Votre entourage est majoritairement :
0,3,Je ne connais aucun de ces cas,Je n'ai eu aucune des deux,J'approuve totalement cette obligation,Je pense que le masque est utile pour freiner la propagation du virus;Je pense que le port du masque protège mes proches;Je pense que le masque est inoffensif pour la santé;Je tolère le port du masque au quotidien (ne me gène pas trop sur le visage...),Aucun de ces arguments,D'accord avec l'obligation de port du masque dans les lieux publics,J'approuve totalement leur usage,Je pense que le vaccin est et restera suffisamment inoffensif pour la santé;Je pense que notre connaissance en vaccins à ARN messager est suffisante pour les utiliser à grande échelle;Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective;Je pense que le vaccin obligatoire pour tous n'empiète pas ou peu sur mes libertés personnelles,"Pour des raisons personnelles médicales (allergies, faiblesses immunitaires, etc.)",D'accord avec l'usage actuel des vaccins,J'approuve plutôt ces décisions,Je tolère l'effet du pass sanitaire sur mes libertés personnelles provisoirement;Je pense que le pass sanitaire permet d'éviter des couvre-feux ou confinements,Aucun de ces arguments,D'accord avec le pass vaccinal,Homme,46-55 ans,"Cadres supérieurs, Professions intellectuelles supérieures",Moins de 100 000 habitants,3,Neutre,Neutre
1,3,Je ne connais aucun de ces cas,Je n'ai eu aucune des deux,J'approuve plutôt cette obligation,Je pense que le masque est utile pour freiner la propagation du virus,"Le masque me gêne physiquement au quotidien (gratte, empêche de bien parler/respirer, etc.)",D'accord avec l'obligation de port du masque dans les lieux publics,J'approuve totalement leur usage,Je pense que le vaccin est et restera suffisamment inoffensif pour la santé;Je pense que les vaccins ont été développés en suffisamment de temps pour être fiables;Je pense que notre connaissance en vaccins à ARN messager est suffisante pour les utiliser à grande échelle;Je pense que le vaccin a un impact positif concret pour ma protection personnelle face au Covid;Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective;Je pense que le vaccin obligatoire pour tous n'empiète pas ou peu sur mes libertés personnelles;Je fais confiance au gouvernement sur les bienfaits de cette mesure,Aucun de ces arguments,D'accord avec l'usage actuel des vaccins,J'approuve totalement ces décisions,Je tolère l'effet du pass sanitaire sur mes libertés personnelles provisoirement;Je pense que le pass sanitaire permet d'éviter des couvre-feux ou confinements;Je fais confiance au gouvernement sur la pertinence du pass vaccinal,Aucun de ces arguments,D'accord avec le pass vaccinal,Homme,18-25 ans,Etudiants,Moins de 100 000 habitants,5,"""Pro-vax""","""Pro-vax"""
0,3,"Un proche ayant contracté une forme grave de Covid-19;Un proche ayant eu une réaction violente au vaccin (problèmes cardiaques, réaction allergique...)",Je n'ai eu aucune des deux,J'approuve totalement cette obligation,Je pense que le masque est utile pour freiner la propagation du virus;Je pense que le port du masque protège mes proches;Je tolère le port du masque au quotidien (ne me gène pas trop sur le visage...),Aucun de ces arguments,D'accord avec l'obligation de port du masque dans les lieux publics,J'approuve totalement leur usage,Je pense que le vaccin est et restera suffisamment inoffensif pour la santé;Je pense que les vaccins ont été développés en suffisamment de temps pour être fiables;Je pense que notre connaissance en vaccins à ARN messager est suffisante pour les utiliser à grande échelle;Je pense que le vaccin a un impact positif concret pour ma protection personnelle face au Covid;Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective,Je pense que le vaccin obligatoire pour tous est une atteinte à la liberté personnelle,D'accord avec l'usage actuel des vaccins,Je n'approuve que partiellement ces décisions,Je tolère l'effet du pass sanitaire sur mes libertés personnelles provisoirement;Je pense que le pass sanitaire permet d'éviter des couvre-feux ou confinements,Je pense que le pass vaccinal est une atteinte à la liberté des Français,D'accord avec le pass vaccinal,Homme,18-25 ans,Etudiants,Moins de 100 000 habitants,NA,"""Pro-vax""","""Pro-vax"""
1,2,Je ne connais aucun de ces cas,Je n'ai eu aucune des deux,J'approuve totalement cette obligation,Je pense que le masque est utile pour freiner la propagation du virus,"Le masque me gêne physiquement au quotidien (gratte, empêche de bien parler/respirer, etc.);Je pense que le port du masque ne protège pas mes proches",D'accord avec l'obligation de port du masque dans les lieux publics,J'approuve totalement leur usage,Je pense que le vaccin est et restera suffisamment inoffensif pour la santé,"Pour des raisons personnelles médicales (allergies, faiblesses immunitaires, etc.)",D'accord avec l'usage actuel des vaccins,J'approuve totalement ces décisions,Je tolère l'effet du pass sanitaire sur mes libertés personnelles provisoirement,Je pense que le pass vaccinal est une atteinte à la liberté des Français,D'accord avec le pass vaccinal,Homme,18-25 ans,Etudiants,Moins de 100 000 habitants,NA,"""Pro-vax""",Neutre
0,3,Je ne connais aucun de ces cas,Je n'ai eu aucune des deux,Je désapprouve plutôt cette obligation,Aucun de ces arguments ,"Le masque me gêne physiquement au quotidien (gratte, empêche de bien parler/respirer, etc.);Je pense que le masque est inutile pour freiner la propagation du virus;Je pense que le port du masque ne protège pas mes proches",Pas d'accord avec l'obligation de port du masque dans les lieux publics,J'approuve totalement leur usage,Je pense que le vaccin est et restera suffisamment inoffensif pour la santé;Je pense que les vaccins ont été développés en suffisamment de temps pour être fiables;Je pense que notre connaissance en vaccins à ARN messager est suffisante pour les utiliser à grande échelle;Je pense que le vaccin a un impact positif concret pour ma protection personnelle face au Covid;Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective;Je pense que le vaccin obligatoire pour tous n'empiète pas ou peu sur mes libertés personnelles,Aucun de ces arguments,D'accord avec l'usage actuel des vaccins,Je désapprouve totalement ces décisions,Aucun de ces arguments,Je pense que le gouvernement n'a pas à décider de ce qui est bon ou non pour nous,Neutre par rapport au pass vaccinal,Femme,46-55 ans,"Cadres supérieurs, Professions intellectuelles supérieures",Moins de 10 000 habitants,5,"""Pro-vax""","""Pro-vax"""
1,2,Je ne connais aucun de ces cas,Je n'ai eu aucune des deux,J'approuve plutôt cette obligation,Je pense que le masque est utile pour freiner la propagation du virus;Je pense que le port du masque protège mes proches;Je fais confiance à cette mesure du gouvernement pour son intérêt dans la gestion de la pandémie,"Le masque me gêne physiquement au quotidien (gratte, empêche de bien parler/respirer, etc.);Je pense que le masque peut causer des problèmes de santé (acné, problèmes respiratoires, etc.)",D'accord avec l'obligation de port du masque dans les lieux publics,Je n'approuve que partiellement leur usage,Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective,Je pense que les vaccins ont été développés en trop peu de temps pour qu'ils soient fiables;Je pense que le vaccin n'a pas d'impact positif concret pour ma protection personnelle face au Covid;Je pense que le vaccin obligatoire pour tous est une atteinte à la liberté personnelle,Pas d'accord avec l'usage actuel des vaccins,Je n'approuve que partiellement ces décisions,Je pense que le pass sanitaire permet d'éviter des couvre-feux ou confinements,Aucun de ces arguments,Pas d'accord avec le pass vaccinal,Femme,18-25 ans,Etudiants,Moins de 10 000 habitants,5,Neutre,Neutre
0,3,Un proche ayant contracté une forme grave de Covid-19;Le décès d'un proche dû au Covid-19,Je n'ai eu aucune des deux,J'approuve totalement cette obligation,Je pense que le port du masque protège mes proches;Je pense que le masque est inoffensif pour la santé,"Le masque me gêne physiquement au quotidien (gratte, empêche de bien parler/respirer, etc.)",Neutre par rapport à l'obligation de port du masque dans les lieux publics,J'approuve totalement leur usage,Je pense que le vaccin est et restera suffisamment inoffensif pour la santé;Je pense que les vaccins ont été développés en suffisamment de temps pour être fiables;Je pense que notre connaissance en vaccins à ARN messager est suffisante pour les utiliser à grande échelle;Je pense que le vaccin a un impact positif concret pour ma protection personnelle face au Covid;Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective,Aucun de ces arguments,Pas d'accord avec l'usage actuel des vaccins,Je n'approuve que partiellement ces décisions,Je pense que le pass sanitaire permet d'éviter des couvre-feux ou confinements,Je pense que le gouvernement n'a pas à décider de ce qui est bon ou non pour nous,Pas d'accord avec le pass vaccinal,Femme,56-65 ans,"Cadres supérieurs, Professions intellectuelles supérieures",Moins de 100 000 habitants,4,"""Pro-vax""","""Anti-vax"""
0,3,Je ne connais aucun de ces cas,Je n'ai eu aucune des deux,J'approuve plutôt cette obligation,Je pense que le masque est utile pour freiner la propagation du virus;Je pense que le port du masque protège mes proches;Je tolère le port du masque au quotidien (ne me gène pas trop sur le visage...),Aucun de ces arguments,D'accord avec l'obligation de port du masque dans les lieux publics,J'approuve plutôt leur usage,Je pense que le vaccin est et restera suffisamment inoffensif pour la santé;Je pense que le vaccin a un impact positif concret pour ma protection personnelle face au Covid;Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective;Je pense que le vaccin obligatoire pour tous n'empiète pas ou peu sur mes libertés personnelles,Je pense que les vaccins ont été développés en trop peu de temps pour qu'ils soient fiables,D'accord avec l'usage actuel des vaccins,Je n'approuve que partiellement ces décisions,Je tolère l'effet du pass sanitaire sur mes libertés personnelles provisoirement;Je pense que le pass sanitaire permet d'éviter des couvre-feux ou confinements,Je pense que le gouvernement n'a pas à décider de ce qui est bon ou non pour nous;Je souhaite exprimer mon insatisfaction face au gouvernement actuel qui ne me convient pas,D'accord avec le pass vaccinal,Homme,18-25 ans,Etudiants,Moins de 100 000 habitants,NA,"""Pro-vax""","""Pro-vax"""
1,2,Un proche ayant contracté une forme grave de Covid-19,Je n'ai eu aucune des deux,Je n'approuve que partiellement cette obligation,Je pense que le masque est utile pour freiner la propagation du virus;Je pense que le port du masque protège mes proches;Je pense que le masque est inoffensif pour la santé;Je tolère le port du masque au quotidien (ne me gène pas trop sur le visage...),Aucun de ces arguments ,D'accord avec l'obligation de port du masque dans les lieux publics,J'approuve totalement leur usage,Je pense que le vaccin est et restera suffisamment inoffensif pour la santé;Je pense que notre connaissance en vaccins à ARN messager est suffisante pour les utiliser à grande échelle;Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective,Je pense que nous n'avons pas assez de recul par rapport aux vaccins à ARN messager;Je pense que le vaccin obligatoire pour tous est une atteinte à la liberté personnelle,Neutre par rapport à l'usage actuel des vaccins,Je n'approuve plutôt pas ces décisions,Je pense que le pass sanitaire permet d'éviter des couvre-feux ou confinements,Je pense que le pass vaccinal est une atteinte à ma liberté personnelle fondamentale;Je pense que le pass vaccinal est une atteinte à la liberté des Français;Je souhaite exprimer mon insatisfaction face au gouvernement actuel qui ne me convient pas,Neutre par rapport au pass vaccinal,Homme,18-25 ans,Etudiants,Moins de 100 000 habitants,1,Neutre,Neutre
0,3,"Un proche ayant eu une réaction violente au vaccin (problèmes cardiaques, réaction allergique...)",Je n'ai eu aucune des deux,J'approuve totalement cette obligation,Je pense que le masque est utile pour freiner la propagation du virus;Je pense que le masque est inoffensif pour la santé,"Le masque me gêne physiquement au quotidien (gratte, empêche de bien parler/respirer, etc.)",D'accord avec l'obligation de port du masque dans les lieux publics,J'approuve totalement leur usage,Je pense que le vaccin a un impact positif concret pour ma protection personnelle face au Covid;Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective;Je pense que le vaccin obligatoire pour tous n'empiète pas ou peu sur mes libertés personnelles,"Pour des raisons personnelles médicales (allergies, faiblesses immunitaires, etc.)",D'accord avec l'usage actuel des vaccins,Je n'approuve que partiellement ces décisions,Je tolère l'effet du pass sanitaire sur mes libertés personnelles provisoirement;Je pense que le pass sanitaire permet d'éviter des couvre-feux ou confinements,Aucun de ces arguments,D'accord avec le pass vaccinal,Homme,56-65 ans,Employés,Moins de 100 000 habitants,NA,"""Pro-vax""","""Pro-vax"""
0,3,Je ne connais aucun de ces cas,Je n'ai eu aucune des deux,Je n'approuve que partiellement cette obligation,Je pense que le masque est utile pour freiner la propagation du virus;Je pense que le masque est inoffensif pour la santé,"Le masque me gêne physiquement au quotidien (gratte, empêche de bien parler/respirer, etc.)",Neutre par rapport à l'obligation de port du masque dans les lieux publics,Je désapprouve totalement leur usage,Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective,Je pense que le vaccin n'a pas d'impact positif concret pour ma protection personnelle face au Covid;Je pense que le vaccin obligatoire pour tous est une atteinte à la liberté personnelle,D'accord avec l'usage actuel des vaccins,Je désapprouve totalement ces décisions,Aucun de ces arguments,Je pense que le pass vaccinal est une atteinte à ma liberté personnelle fondamentale;Je pense que le gouvernement n'a pas à décider de ce qui est bon ou non pour nous,Neutre par rapport au pass vaccinal,Femme,26-35 ans,Etudiants,Moins de 1 000 000 habitants,0,Neutre,Neutre
